"Year","Code","Date","Score","NotOut","Opponents","Minutes"
1957,"gwip",1957-6-16 00:00:00,121,0,"South Harrow",
1962,"char",1962-7-8 00:00:00,101,1,"Banstead Wayfarers",102
1962,"vign",1962-9-10 00:00:00,100,1,"Pyrford",114
1963,"vign",1963-9-21 00:00:00,106,0,"Swans Tours",80
1964,"char",1964-9-27 00:00:00,100,1,"Pyrford",134
1966,"vaum",1966-9-10 00:00:00,116,1,"Passport Offices",114
1967,"onlg",1967-8-5 00:00:00,104,1,"Raynes Park Res",127
1968,"char",1968-6-16 00:00:00,107,1,"South Harrow",110
1968,"lyug",1968-8-21 00:00:00,118,1,"Wimbledon Park",59
1969,"onlg",1969-9-27 00:00:00,118,0,"Surrey Grove",88
1970,"pint",1970-6-27 00:00:00,109,1,"Surrey Grove",100
1972,"camr",1972-8-5 00:00:00,113,1,"Surrey Grove",106
1973,"pint",1973-7-28 00:00:00,136,1,"Chiswick Homefields",70
1974,"camr",1974-8-3 00:00:00,101,0,"Surrey Grove",111
1975,"howv",1975-6-21 00:00:00,100,0,"Zephyr",101
1977,"sanj",1977-9-11 00:00:00,111,0,"Selsdon",81
1978,"howv",1978-8-12 00:00:00,106,0,"Church Commissioners",82
1979,"busr",1979-9-8 00:00:00,105,0,"Hayes (Kent)",116
1979,"sanj",1979-7-8 00:00:00,110,1,"Courage",90
1979,"sanj",1979-9-22 00:00:00,125,0,"Sutton",77
1980,"sanj",1980-6-14 00:00:00,108,1,"Epsom Old Gram",72
1981,"howv",1981-8-9 00:00:00,114,0,"Bromley Common",99
1981,"masd",1981-5-2 00:00:00,112,0,"Park Hill",115
1981,"sanj",1981-8-30 00:00:00,117,0,"Griffin-Clapham",104
1983,"shaa",1983-8-20 00:00:00,102,1,"Olinda Vandals",124
1983,"stap",1983-7-13 00:00:00,122,1,"Ewell Ruxley",120
1987,"coop",1987-5-10 00:00:00,113,1,"Sutton Traders",136
1987,"hars",1987-6-7 00:00:00,106,1,"Olinda Vandals",124
1987,"lead",1987-6-20 00:00:00,111,0,"Denison",95
1988,"lead",1988-5-1 00:00:00,101,0,"Worcester Park",145
1988,"lead",1988-8-6 00:00:00,126,1,"Deansbank",118
1989,"burw",1989-4-30 00:00:00,112,0,"PRS",
1989,"lead",1989-7-9 00:00:00,122,0,"Courage*",167
1989,"lead",1989-8-6 00:00:00,135,1,"Whyteleaf",108
1989,"lead",1989-8-13 00:00:00,121,0,"Addington",119
