id,date,oppo,venue,result,bat_first,first_runs,first_wkts,first_all_out,first_notes,second_runs,second_wkts,second_all_out,second_notes,overs_opp,overs_tocc,tocc_w,tocc_nb,tocc_b,tocc_lb,opp_w,opp_nb,opp_b,opp_lb
-1,1998-05-02 00:00:00,West Wickham,H,L,TOCC,125,10,Y,,128,9,,"Mander A 5-20, Tasker 53",38.3,35,4,0,7,0,7,3,10,0
-1,1998-05-03 00:00:00,Commonwealth Offices,H,D,TOCC,185,6,Y,"Shewan 93, Snow 41",118,5,,,38,37,10,0,3,2,6,2,4,2
-1,1998-05-04 00:00:00,Seaford,A,W,TOCC,147,10,Y,Leadley 38,145,10,,Cooper 5-38,41.3,42.4,2,0,3,2,10,4,3,8
-1,1998-05-09 00:00:00,Norwood Exiles,H,D,Opp,114,9,Y,"Lestrelle 3-7, Elliston 3-22",92,8,,,31,52,10,1,0,1,9,0,3,5
-1,1998-05-10 00:00:00,Falcon,A,W,TOCC,126,9,Y,Worthington 25,62,9,,Cooper 3-18,45,27.4,4,0,9,2,4,2,9,5
-1,1998-05-10 00:00:00,Corner Pin,H,W,TOCC,188,4,Y,"Leadley 88*, Sharpe 35",109,10,,Thomas 3-14,40,30.4,4,0,12,1,10,0,18,2
-1,1998-05-16 00:00:00,Burgh Heath,A,W,TOCC,134,10,Y,Worthington 36,87,10,,"Morris 3-9, Springer 3-19",36.3,30,3,0,15,6,9,1,0,2
-1,1998-05-17 00:00:00,Thurlow Park RAFA,H,L,Opp,166,10,Y,Thomas 6-44,164,10,,"Leadley 76, Williams 5-32",39.4,44.2,14,3,10,2,6,4,11,3
-1,1998-05-17 00:00:00,Merton Saints,A,W,Opp,87,10,Y,"Mander N 3-14, Worthy J 3-16",88,9,,"Mander A 25, Reid 20",22.4,38.5,19,0,9,2,2,2,1,0
-1,1998-05-23 00:00:00,Frensham,A,W,Opp,166,7,Y,Worthy J 3-15,171,6,,"Lestrelle 29, Mander N 28*",32.3,44,19,4,4,1,13,4,12,2
-1,1998-05-24 00:00:00,Woodgreen,A,W,TOCC,158,7,Y,"Mander N 41*, Brocks 36",93,10,,"Nash 32, Worthy J 3-22, Elliston 3-26",41,27.5,1,0,10,0,7,0,8,0
-1,1998-05-25 00:00:00,Steeple Langford,A,W,TOCC,235,5,Y,"Reid 62*, Cooper 41, Sharpe 37*",76,10,,"Springer 4-6, Brocks 3-22",41,20.3,2,1,1,0,5,1,3,3
-1,1998-05-26 00:00:00,Cove,A,W,Opp,150,3,Y,Randall 56,151,3,,Brocks 92,21,25,4,0,2,1,1,3,2,3
-1,1998-05-30 00:00:00,Deansbank,H,L,TOCC,126,10,Y,"Dugdale 29, Challoner 6-26",127,5,,Young 2-32,40.1,33.5,4,2,2,2,5,3,8,4
-1,1998-05-31 00:00:00,Bromley Common,H,D,TOCC,172,8,Y,"Brocks 48, Hamilton 43",103,7,,Sharpe 2-9,43,44,7,2,3,2,7,4,9,3
-1,1998-05-31 00:00:00,Tabard Pilgrims,A,W,Opp,151,6,Y,Morris 3-26,153,6,,Leadley 112*,34,47,0,0,2,0,5,0,4,1
-1,1998-06-06 00:00:00,Mad Hatters,A,D,Opp,202,8,Y,"Lally 50, Young 3-57",182,9,,"Middleton 96, Hanna 4-29",38,42,3,0,8,4,15,0,6,1
-1,1998-06-07 00:00:00,Frensham,A,L,TOCC,190,10,Y,"Sharpe 59, Springer 55",193,6,,,38,38.3,11,1,4,1,16,1,0,1
-1,1998-06-07 00:00:00,Merton Saints,H,D,TOCC,172,8,Y,"Leadley 58, Porter 49",103,7,,Porter 3-15,43.5,39,10,0,12,1,3,1,4,4
-1,1998-06-14 00:00:00,4 C's,H,W,Opp,108,8,Y,,110,9,,Hamilton 49,36.2,47,13,0,4,4,16,0,5,0
-1,1998-06-20 00:00:00,Beckenham IV,H,L,Opp,160,10,Y,"Coulson 44, Young 4-35, Bowers 3-26",156,10,,"Mander A 56, Springer 37",35.3,40.1,2,7,5,1,4,0,8,0
-1,1998-06-21 00:00:00,Carshalton,H,D,TOCC,137,10,Y,"Sharpe 52, Worthington 37",114,8,,"Mander C 4-15, Porter 3-23",41.5,38,7,0,26,3,6,0,12,1
-1,1998-06-21 00:00:00,Addington,A,L,Opp,207,7,Y,,51,10,,,28,49,5,1,3,5,3,0,2,4
-1,1998-06-27 00:00:00,Central YMCA,A,D,Opp,144,10,Y,"Bowers 8-59, Colyer 90",58,1,,,11,47.4,5,0,8,4,0,0,4,1
-1,1998-06-28 00:00:00,Cobham,A,L,TOCC,147,9,Y,,148,2,,,35,24.5,1,0,2,0,12,2,9,2
-1,1998-06-28 00:00:00,Sunderland Supporters,H,L,Opp,84,10,Y,"Shewan 4-6, Reid 4-22",60,9,,"Porter 29*, Trow 5-4",30.3,37.1,4,0,9,4,4,0,1,1
-1,1998-07-05 00:00:00,Murray,A,L,Opp,247,3,Y,"Goodliffe 140, Vagg 71*",140,9,,Sharpe 52,39,41.3,1,4,8,5,3,3,3,0
-1,1998-07-11 00:00:00,Southern Railway,H,ND,Opp,90,5,Y,Clark 3-22,0,0,,,0,25,1,0,9,1,0,0,0,0
-1,1998-07-18 00:00:00,Legless XI,A,W,Opp,164,9,,"Cooper 4-22, Young 3-31",165,6,,"Leadley 76, Woodhouse 27",32.1,40,6,0,8,6,4,0,9,11
-1,1998-07-19 00:00:00,Falcon,H,D,Opp,157,7,Y,,119,8,,,38,46,9,1,7,2,9,1,17,3
-1,1998-07-25 00:00:00,LESSA Wanderers,A,W,Opp,63,9,Y,"Cooper G 3-5, Sharpe 3-15, Beck 30",65,9,,Beck 6-30,26.5,20,4,0,7,1,0,0,6,2
